# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
0.8546100855  0.7720    9.044  -0.862  -1.298  -1.364  -0.356  -0.933  -1.362
0.8546707034  0.7720    9.027  -0.861  -1.296  -1.362  -0.356  -0.932  -1.359
0.8547320962  0.7720    8.996  -0.856  -1.290  -1.356  -0.353  -0.927  -1.353
0.8547948003  0.7720    8.947  -0.850  -1.282  -1.347  -0.348  -0.920  -1.345
0.8548572063  0.7720    8.907  -0.843  -1.273  -1.338  -0.343  -0.912  -1.335
0.8549186587  0.7720    8.858  -0.836  -1.264  -1.329  -0.337  -0.905  -1.326
0.8549830914  0.7720    8.810  -0.829  -1.255  -1.320  -0.332  -0.897  -1.317
0.8550431132  0.7720    8.775  -0.823  -1.248  -1.312  -0.328  -0.891  -1.309
0.8551082015  0.7720    8.741  -0.817  -1.240  -1.305  -0.323  -0.885  -1.302
0.8551713824  0.7720    8.711  -0.813  -1.234  -1.299  -0.320  -0.879  -1.296
0.8552333713  0.7730    8.681  -0.809  -1.229  -1.293  -0.317  -0.875  -1.290
0.8552827239  0.7730    8.659  -0.806  -1.226  -1.290  -0.315  -0.872  -1.287
0.8552951217  0.7730    8.655  -0.806  -1.225  -1.289  -0.315  -0.872  -1.286
0.8553563356  0.7730    8.643  -0.804  -1.222  -1.286  -0.314  -0.869  -1.283
0.8554157019  0.7730    8.631  -0.802  -1.221  -1.284  -0.313  -0.868  -1.282
0.8554775119  0.7730    8.627  -0.803  -1.220  -1.284  -0.314  -0.868  -1.281
0.8555399776  0.7730    8.633  -0.804  -1.221  -1.285  -0.315  -0.869  -1.282
0.8555992842  0.7730    8.643  -0.806  -1.224  -1.287  -0.317  -0.872  -1.284
0.8556634188  0.7730    8.657  -0.810  -1.228  -1.292  -0.321  -0.876  -1.289
0.8557258844  0.7730    8.689  -0.816  -1.234  -1.298  -0.326  -0.881  -1.295
0.8557384610  0.7730    8.689  -0.817  -1.236  -1.299  -0.327  -0.883  -1.297
0.8557955027  0.7730    8.735  -0.824  -1.244  -1.308  -0.334  -0.890  -1.305
0.8558546305  0.7730    8.781  -0.833  -1.253  -1.317  -0.341  -0.899  -1.315
0.8559164405  0.7730    8.832  -0.844  -1.265  -1.330  -0.351  -0.910  -1.327
0.8559755683  0.7730    8.897  -0.856  -1.279  -1.343  -0.361  -0.923  -1.340
0.8560324311  0.7730    8.967  -0.869  -1.294  -1.359  -0.373  -0.937  -1.356
0.8560893536  0.7730    9.048  -0.883  -1.310  -1.375  -0.386  -0.952  -1.372
0.8561471701  0.7740    9.119  -0.898  -1.326  -1.391  -0.399  -0.967  -1.389
0.8562040925  0.7740    9.144  -0.903  -1.332  -1.397  -0.403  -0.972  -1.394
0.8562660813  0.7740    9.261  -0.923  -1.355  -1.420  -0.422  -0.993  -1.418
0.8563243151  0.7740    9.437  -0.956  -1.392  -1.458  -0.451  -1.027  -1.455
0.8563832045  0.7740    9.762  -1.015  -1.458  -1.525  -0.503  -1.089  -1.522
0.8564405441  0.7740   10.300  -1.108  -1.562  -1.631  -0.586  -1.186  -1.628
0.8564746380  0.7740   10.921  -1.210  -1.676  -1.746  -0.677  -1.291  -1.743
0.8564910889  0.7740   11.568  -1.309  -1.786  -1.859  -0.765  -1.394  -1.856
0.8564998507  0.7740   12.318  -1.419  -1.909  -1.983  -0.864  -1.509  -1.980
0.8565040231  0.7740   13.084  -1.524  -2.026  -2.102  -0.958  -1.618  -2.099
0.8565062284  0.7740   13.847  -1.624  -2.137  -2.215  -1.047  -1.721  -2.211
0.8565075397  0.7740   14.587  -1.714  -2.239  -2.318  -1.128  -1.816  -2.315
0.8565081954  0.7740   15.047  -1.768  -2.300  -2.379  -1.176  -1.873  -2.376
0.8565090299  0.7740   15.836  -1.862  -2.403  -2.484  -1.261  -1.970  -2.481
0.8565100431  0.7740   16.802  -1.970  -2.518  -2.601  -1.357  -2.080  -2.598
0.8565111160  0.7740   17.513  -2.044  -2.598  -2.683  -1.425  -2.156  -2.679
0.8565138578  0.7740   17.732  -2.065  -2.621  -2.706  -1.444  -2.178  -2.702
0.8565165401  0.7730   17.122  -2.003  -2.554  -2.638  -1.388  -2.114  -2.635
0.8565478325  0.7710   17.185  -2.010  -2.561  -2.645  -1.394  -2.121  -2.642
0.8565747738  0.7690   18.262  -2.118  -2.677  -2.763  -1.491  -2.231  -2.760
0.8565928936  0.7680   19.492  -2.234  -2.802  -2.891  -1.595  -2.350  -2.888
0.8566083312  0.7660   20.714  -2.341  -2.918  -3.009  -1.691  -2.461  -3.006
0.8566258550  0.7630   22.063  -2.456  -3.041  -3.136  -1.793  -2.579  -3.133
0.8566418290  0.7600   23.537  -2.570  -3.163  -3.262  -1.894  -2.695  -3.258
0.8566563129  0.7570   25.070  -2.682  -3.284  -3.386  -1.992  -2.810  -3.383
0.8566693068  0.7530   26.690  -2.793  -3.406  -3.512  -2.090  -2.925  -3.508
0.8566809893  0.7480   28.415  -2.903  -3.526  -3.636  -2.187  -3.039  -3.633
0.8566915393  0.7430   30.252  -3.012  -3.647  -3.761  -2.283  -3.153  -3.757
0.8567010760  0.7380   32.170  -3.120  -3.766  -3.883  -2.377  -3.265  -3.879
0.8567098379  0.7310   34.336  -3.229  -3.890  -4.012  -2.471  -3.381  -4.008
0.8567139506  0.7270   35.822  -3.288  -3.963  -4.089  -2.514  -3.446  -4.086
0.8567216992  0.7190   38.446  -3.397  -4.092  -4.224  -2.603  -3.563  -4.221
0.8567292094  0.7080   41.073  -3.504  -4.215  -4.352  -2.693  -3.677  -4.349
0.8567364216  0.6960   43.647  -3.609  -4.333  -4.475  -2.784  -3.788  -4.471
0.8567434549  0.6800   46.468  -3.715  -4.450  -4.597  -2.875  -3.899  -4.594
0.8567497730  0.6610   49.290  -3.818  -4.564  -4.716  -2.966  -4.007  -4.712
0.8567557931  0.6370   52.306  -3.924  -4.679  -4.836  -3.060  -4.117  -4.832
0.8567607403  0.6090   55.329  -4.031  -4.792  -4.952  -3.157  -4.227  -4.948
0.8567643166  0.5830   57.830  -4.125  -4.886  -5.048  -3.247  -4.321  -5.045
0.8567672968  0.5530   58.987  -4.212  -4.952  -5.110  -3.349  -4.398  -5.107
0.8567695618  0.5110   55.546  -4.252  -4.915  -5.050  -3.464  -4.403  -5.046
1.0698199272  0.5390    0.000  28.168  27.630  27.464  28.851  28.064  27.477
