# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
1.0642390251  0.9870   10.856  -0.975  -1.544  -1.645  -0.318  -1.090  -1.642
1.0643448830  0.9870   10.806  -0.967  -1.534  -1.634  -0.311  -1.081  -1.632
1.0644468069  0.9880   10.739  -0.959  -1.524  -1.624  -0.305  -1.072  -1.621
1.0645540953  0.9880   10.677  -0.950  -1.514  -1.613  -0.297  -1.063  -1.610
1.0646570921  0.9880   10.616  -0.942  -1.504  -1.603  -0.291  -1.054  -1.601
1.0647581816  0.9880   10.572  -0.935  -1.496  -1.594  -0.285  -1.047  -1.592
1.0648682117  0.9880   10.528  -0.928  -1.488  -1.586  -0.280  -1.039  -1.583
1.0649781227  0.9880   10.485  -0.922  -1.481  -1.579  -0.275  -1.033  -1.576
1.0650887489  0.9880   10.441  -0.917  -1.474  -1.572  -0.271  -1.027  -1.569
1.0651962757  0.9890   10.415  -0.913  -1.469  -1.567  -0.267  -1.023  -1.564
1.0652445555  0.9890   10.410  -0.911  -1.467  -1.564  -0.266  -1.021  -1.562
1.0652778149  0.9890   10.393  -0.910  -1.466  -1.563  -0.265  -1.020  -1.560
1.0653808117  0.9890   10.367  -0.907  -1.462  -1.559  -0.263  -1.016  -1.556
1.0654809475  0.9890   10.358  -0.904  -1.459  -1.556  -0.261  -1.014  -1.553
1.0655770302  0.9890   10.341  -0.903  -1.457  -1.554  -0.261  -1.013  -1.552
1.0656802654  0.9890   10.336  -0.903  -1.457  -1.553  -0.260  -1.012  -1.551
1.0657778978  0.9890   10.343  -0.903  -1.457  -1.553  -0.261  -1.012  -1.551
1.0658780336  0.9890   10.343  -0.905  -1.458  -1.555  -0.263  -1.014  -1.552
1.0659761429  0.9890   10.355  -0.908  -1.461  -1.558  -0.266  -1.017  -1.555
1.0659830570  0.9890   10.355  -0.908  -1.461  -1.558  -0.266  -1.017  -1.555
1.0660257339  0.9900   10.367  -0.910  -1.463  -1.560  -0.267  -1.019  -1.557
1.0661305189  0.9900   10.396  -0.915  -1.469  -1.565  -0.272  -1.024  -1.563
1.0662339926  0.9900   10.441  -0.922  -1.476  -1.573  -0.279  -1.031  -1.570
1.0663372278  0.9900   10.492  -0.930  -1.485  -1.582  -0.286  -1.040  -1.580
1.0664430857  0.9900   10.543  -0.940  -1.496  -1.594  -0.295  -1.050  -1.591
1.0665472746  0.9900   10.623  -0.953  -1.510  -1.608  -0.307  -1.064  -1.605
1.0666515827  0.9900   10.709  -0.968  -1.527  -1.625  -0.321  -1.079  -1.623
1.0667555332  0.9900   10.826  -0.986  -1.546  -1.645  -0.336  -1.097  -1.642
1.0668585300  0.9910   10.949  -1.006  -1.568  -1.668  -0.354  -1.118  -1.665
1.0669642687  0.9910   11.108  -1.032  -1.597  -1.697  -0.377  -1.145  -1.694
1.0670715570  0.9910   11.139  -1.037  -1.603  -1.703  -0.382  -1.151  -1.700
1.0671781301  0.9910   11.643  -1.114  -1.688  -1.790  -0.451  -1.231  -1.787
1.0672607422  0.9910   12.361  -1.221  -1.804  -1.909  -0.546  -1.341  -1.906
1.0673019886  0.9910   13.115  -1.325  -1.920  -2.028  -0.640  -1.450  -2.025
1.0673251152  0.9910   13.978  -1.437  -2.043  -2.154  -0.739  -1.566  -2.151
1.0673364401  0.9910   14.841  -1.542  -2.158  -2.272  -0.833  -1.675  -2.270
1.0673425198  0.9910   15.749  -1.648  -2.274  -2.392  -0.927  -1.785  -2.389
1.0673462152  0.9910   16.740  -1.754  -2.390  -2.512  -1.022  -1.895  -2.509
1.0673485994  0.9910   17.785  -1.859  -2.501  -2.628  -1.115  -2.002  -2.625
1.0673497915  0.9910   18.572  -1.933  -2.579  -2.711  -1.181  -2.078  -2.708
1.0673502684  0.9910   18.843  -1.959  -2.606  -2.739  -1.203  -2.104  -2.736
1.0673520565  0.9910   20.228  -2.080  -2.734  -2.874  -1.310  -2.228  -2.871
1.0673537254  0.9910   21.387  -2.176  -2.836  -2.981  -1.395  -2.326  -2.977
1.0673580170  0.9910   21.645  -2.197  -2.858  -3.005  -1.414  -2.348  -3.001
1.0673624277  0.9910   20.886  -2.137  -2.795  -2.938  -1.362  -2.287  -2.934
1.0674020052  0.9910   20.251  -2.083  -2.738  -2.878  -1.314  -2.231  -2.874
1.0674684048  0.9900   21.260  -2.166  -2.825  -2.970  -1.386  -2.316  -2.966
1.0675070286  0.9890   22.550  -2.267  -2.932  -3.083  -1.475  -2.419  -3.079
1.0675430298  0.9880   23.997  -2.373  -3.044  -3.202  -1.569  -2.528  -3.198
1.0675749779  0.9870   25.566  -2.482  -3.159  -3.325  -1.665  -2.640  -3.320
1.0676025152  0.9860   27.249  -2.591  -3.274  -3.447  -1.760  -2.751  -3.442
1.0676267147  0.9840   29.031  -2.699  -3.388  -3.569  -1.854  -2.862  -3.563
1.0676481724  0.9830   30.978  -2.810  -3.510  -3.696  -1.952  -2.978  -3.690
1.0676672459  0.9820   33.034  -2.922  -3.631  -3.823  -2.050  -3.094  -3.818
1.0676840544  0.9800   35.209  -3.032  -3.752  -3.950  -2.147  -3.210  -3.944
1.0676994324  0.9780   37.528  -3.142  -3.872  -4.075  -2.243  -3.324  -4.070
1.0677137375  0.9760   39.972  -3.252  -3.993  -4.202  -2.338  -3.440  -4.196
1.0677270889  0.9730   43.058  -3.366  -4.124  -4.342  -2.430  -3.562  -4.336
1.0677400827  0.9700   46.404  -3.482  -4.257  -4.484  -2.521  -3.686  -4.478
1.0677521229  0.9670   49.677  -3.595  -4.383  -4.618  -2.614  -3.806  -4.611
1.0677635670  0.9630   53.071  -3.707  -4.504  -4.746  -2.706  -3.923  -4.740
1.0677740574  0.9590   56.657  -3.820  -4.627  -4.876  -2.798  -4.040  -4.869
1.0677832365  0.9540   60.514  -3.933  -4.749  -5.005  -2.888  -4.158  -4.998
1.0677896738  0.9500   64.425  -4.040  -4.864  -5.127  -2.971  -4.269  -5.120
