# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.521949649 1.522 5.135144216 4850.65068 3.196 2.31 1.243 0.517 0.007 -0.084
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.522352219 1.522 5.42441171 4829.475864 3.149 2.221 1.145 0.412 -0.104 -0.196
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.522753477 1.522 5.726017155 4807.286438 3.102 2.133 1.047 0.306 -0.216 -0.309
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.523153901 1.523 6.051355188 4785.198964 3.055 2.045 0.95 0.201 -0.326 -0.42
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.523636579 1.523 6.451380317 4758.82791 2.998 1.943 0.835 0.077 -0.457 -0.554
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.524134517 1.524 6.904824504 4731.51259 2.94 1.837 0.716 -0.051 -0.593 -0.691
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.524559855 1.524 7.31227717 4707.604833 2.89 1.747 0.614 -0.162 -0.711 -0.811
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.525031686 1.525 7.820826381 4679.505909 2.832 1.644 0.497 -0.289 -0.845 -0.947
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.525453687 1.525 8.312901697 4652.645891 2.779 1.551 0.391 -0.405 -0.969 -1.073
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.525859952 1.525 8.835937695 4625.940048 2.726 1.46 0.286 -0.519 -1.091 -1.197
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.526250482 1.526 9.391882376 4599.387494 2.674 1.371 0.183 -0.632 -1.211 -1.319
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.526625156 1.526 9.971319793 4572.98735 2.622 1.282 0.081 -0.744 -1.33 -1.441
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.527001619 1.526 10.58650592 4546.738741 2.57 1.196 -0.021 -0.856 -1.45 -1.563
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.527379751 1.527 11.20089291 4520.640796 2.521 1.115 -0.115 -0.96 -1.562 -1.677
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.52776444 1.527 11.74228575 4499.870339 2.479 1.047 -0.196 -1.049 -1.658 -1.774
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.528234005 1.528 12.16893706 4484.355146 2.448 0.995 -0.258 -1.117 -1.729 -1.848
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.528564691 1.528 11.80191941 4498.834325 2.475 1.037 -0.207 -1.06 -1.669 -1.786
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.528795958 1.528 11.26036958 4521.681832 2.516 1.101 -0.129 -0.974 -1.576 -1.691
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.528967023 1.528 10.65498015 4547.785786 2.564 1.178 -0.037 -0.872 -1.466 -1.579
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.529116988 1.528 10.07053736 4574.04044 2.614 1.258 0.058 -0.767 -1.353 -1.463
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.529257536 1.529 9.529116682 4600.446664 2.662 1.338 0.151 -0.664 -1.243 -1.351
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.529408813 1.529 8.996066245 4627.005332 2.711 1.419 0.247 -0.559 -1.13 -1.236
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.529594779 1.529 8.488923989 4654.789007 2.762 1.504 0.345 -0.45 -1.013 -1.117
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.529643893 1.529 8.391752079 4660.151117 2.772 1.52 0.364 -0.429 -0.991 -1.095
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.529806018 1.529 8.634807197 4647.292417 2.747 1.478 0.315 -0.483 -1.049 -1.153
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.530227065 1.53 9.207731461 4618.489919 2.692 1.384 0.206 -0.602 -1.176 -1.283
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.530727506 1.53 9.823192275 4588.809196 2.635 1.288 0.096 -0.724 -1.306 -1.415
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.531261563 1.531 10.50394998 4559.319217 2.577 1.189 -0.019 -0.85 -1.441 -1.552
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.53177321 1.531 11.22412888 4528.975799 2.52 1.096 -0.129 -0.971 -1.571 -1.685
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.532258391 1.532 11.96059114 4499.870339 2.465 1.006 -0.237 -1.09 -1.698 -1.815
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.532732367 1.532 12.76005789 4470.951925 2.408 0.915 -0.346 -1.211 -1.826 -1.946
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.533187866 1.532 13.62550617 4440.174108 2.352 0.827 -0.455 -1.331 -1.955 -2.078
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.533611536 1.533 14.51953289 4411.639332 2.297 0.741 -0.561 -1.448 -2.08 -2.206
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.534014702 1.533 15.48647746 4381.26982 2.242 0.656 -0.666 -1.566 -2.206 -2.335
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.534396648 1.534 16.51021181 4352.111366 2.186 0.571 -0.773 -1.684 -2.332 -2.466
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.534748077 1.534 17.58946559 4322.151642 2.131 0.49 -0.876 -1.8 -2.456 -2.593
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.53508234 1.534 18.76085578 4292.39816 2.075 0.408 -0.981 -1.918 -2.582 -2.723
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.535384417 1.534 19.96423369 4262.849499 2.02 0.329 -1.083 -2.031 -2.704 -2.849
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.535670757 1.535 21.27907008 4232.529561 1.965 0.249 -1.184 -2.146 -2.823 -2.973
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.53593266 1.535 22.64397386 4203.393032 1.911 0.17 -1.282 -2.257 -2.937 -3.094
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.536176443 1.535 24.10752606 4173.495985 1.857 0.092 -1.379 -2.368 -3.051 -3.215
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.536403775 1.535 25.6656723 4143.811583 1.803 0.017 -1.475 -2.479 -3.165 -3.336
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.536611915 1.535 27.28052004 4115.285784 1.749 -0.057 -1.569 -2.588 -3.277 -3.456
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.536806107 1.535 29.02369121 4085.074677 1.696 -0.129 -1.662 -2.697 -3.389 -3.575
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.536987781 1.536 30.89958487 4056.01918 1.642 -0.199 -1.755 -2.806 -3.502 -3.696
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.537150025 1.536 32.78329826 4027.170343 1.59 -0.264 -1.843 -2.91 -3.61 -3.811
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.537304163 1.536 34.83795428 3997.606108 1.538 -0.329 -1.931 -3.016 -3.719 -3.928
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.537447691 1.536 36.96176018 3969.17274 1.486 -0.388 -2.019 -3.121 -3.83 -4.046
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.53757751 1.536 39.21503842 3940.941607 1.435 -0.436 -2.105 -3.225 -3.941 -4.162
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.537701368 1.536 41.59610299 3911.109724 1.383 -0.483 -2.193 -3.331 -4.055 -4.281
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.53781569 1.536 44.15223015 3882.397512 1.332 -0.527 -2.279 -3.435 -4.167 -4.398
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.537920594 1.536 46.75764667 3853.896082 1.282 -0.561 -2.361 -3.537 -4.276 -4.513
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538019299 1.536 49.53961702 3824.72311 1.232 -0.593 -2.443 -3.639 -4.385 -4.628
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538111806 1.536 52.48710809 3795.77097 1.182 -0.623 -2.524 -3.741 -4.494 -4.742
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538196325 1.535 55.49484527 3768.773174 1.133 -0.637 -2.599 -3.84 -4.6 -4.853
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538276315 1.535 58.6884507 3739.383436 1.084 -0.648 -2.674 -3.939 -4.706 -4.965
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538351536 1.535 62.13733814 3710.222886 1.035 -0.655 -2.747 -4.038 -4.813 -5.077
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538438678 1.535 66.6734065 3673.668801 0.974 -0.64 -2.832 -4.161 -4.944 -5.215
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538517237 1.535 71.31036261 3639.150361 0.915 -0.621 -2.912 -4.28 -5.07 -5.349
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.53859055 1.535 76.30493818 3604.126286 0.856 -0.58 -2.983 -4.398 -5.196 -5.482
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538657427 1.534 81.46154541 3569.439292 0.799 -0.529 -3.048 -4.513 -5.317 -5.611
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538720608 1.534 87.10691739 3534.272244 0.742 -0.466 -3.107 -4.628 -5.439 -5.741
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538778305 1.534 92.88650985 3500.257542 0.686 -0.383 -3.154 -4.74 -5.557 -5.867
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538831949 1.533 98.93561206 3466.570205 0.63 -0.299 -3.2 -4.85 -5.674 -5.991
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538881898 1.533 105.3786535 3433.207084 0.575 -0.185 -3.222 -4.959 -5.788 -6.114
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538928866 1.532 112.1121406 3400.165058 0.521 -0.071 -3.245 -5.066 -5.901 -6.236
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.538972974 1.532 119.3308255 3366.665744 0.467 0.073 -3.245 -5.173 -6.013 -6.357
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.539014459 1.531 126.8681611 3333.496473 0.413 0.23 -3.232 -5.279 -6.122 -6.477
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.53905344 1.53 134.8194791 3301.414086 0.36 0.403 -3.206 -5.381 -6.23 -6.593
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.539090037 1.53 142.9396271 3269.640468 0.31 0.607 -3.154 -5.478 -6.331 -6.704
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.539124727 1.529 150.7483769 3241.156488 0.263 0.81 -3.099 -5.567 -6.426 -6.808
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.539124727 1.529 150.7483769 3241.156488 0.263 0.935 -0.229 -5.567 -6.426 -6.808
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.539651632 1.529 11.43543382 4620.617302 2.503 0.904 -0.267 -1.076 -1.647 -1.755
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.540206552 1.53 11.4988033 4618.489919 2.498 0.894 -0.277 -1.087 -1.658 -1.767
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.540784597 1.531 11.46971548 4621.681361 2.501 0.895 -0.274 -1.084 -1.654 -1.762
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.541364312 1.531 11.43543382 4625.940048 2.504 0.897 -0.27 -1.078 -1.647 -1.755
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.541896343 1.532 11.39338164 4629.136638 2.507 0.899 -0.266 -1.073 -1.641 -1.749
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.542421818 1.532 11.3645605 4632.335437 2.51 0.9 -0.263 -1.069 -1.636 -1.743
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.54300487 1.533 11.32276894 4635.536446 2.513 0.902 -0.26 -1.064 -1.63 -1.738
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.54359436 1.534 11.28892648 4639.8079 2.516 0.903 -0.257 -1.06 -1.625 -1.732
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.544163108 1.534 11.26036958 4643.014073 2.518 0.904 -0.254 -1.056 -1.62 -1.727
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.544704914 1.535 11.23705858 4645.152752 2.521 0.904 -0.252 -1.053 -1.616 -1.723
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.545260668 1.535 11.20863288 4648.362619 2.522 0.904 -0.251 -1.051 -1.613 -1.72
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.545815706 1.536 11.18542898 4650.503762 2.524 0.904 -0.25 -1.049 -1.611 -1.717
