# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
1.1653819084  0.8960  207.231   2.240  -2.300  -5.925  -6.812  -7.247
1.1653825045  0.8900  239.748   2.304  -2.344  -6.143  -7.035  -7.484
1.1653832197  0.8820  258.080   2.373  -2.365  -6.250  -7.144  -7.602
1.1653840542  0.8740  266.351   2.409  -2.371  -6.294  -7.189  -7.652
1.1653848886  0.8650  270.492   2.437  -2.369  -6.314  -7.209  -7.675
# 1.1653848886  0.8640  196.361   2.264  -2.258  -5.832  -6.717  -7.148
1.1653850079  0.8620  143.898   1.991  -2.346  -5.346  -6.207  -6.599
1.1653852463  0.8580  104.943   0.844  -2.717  -4.845  -5.676  -6.018
1.1653854847  0.8530  109.940   1.068  -2.650  -4.917  -5.753  -6.104
1.1653858423  0.8460  136.696   1.887  -2.377  -5.261  -6.117  -6.502
1.1653863192  0.8370  179.951   2.280  -2.209  -5.683  -6.563  -6.986
1.1653869152  0.8270  225.764   2.384  -2.247  -6.024  -6.915  -7.362
1.1653875113  0.8160  261.550   2.523  -2.287  -6.234  -7.129  -7.594
1.1653882265  0.8030  281.744   2.623  -2.304  -6.333  -7.232  -7.709
1.1653890610  0.7890  291.243   2.696  -2.298  -6.369  -7.271  -7.757
1.1653898954  0.7730  295.839   2.735  -2.294  -6.385  -7.289  -7.780
# 1.1653898954  0.7720  217.048   2.407  -2.208  -5.957  -6.848  -7.295
1.1653900146  0.7670  157.346   2.211  -2.228  -5.476  -6.347  -6.756
1.1653902531  0.7600  112.942   1.120  -2.659  -4.969  -5.803  -6.160
1.1653904915  0.7500  117.586   1.275  -2.622  -5.037  -5.874  -6.237
1.1653908491  0.7370  145.598   2.040  -2.334  -5.369  -6.228  -6.626
1.1653913260  0.7210  190.307   2.327  -2.213  -5.776  -6.661  -7.096
1.1653919220  0.7030  236.404   2.469  -2.242  -6.097  -6.995  -7.460
1.1653925180  0.6820  268.692   2.575  -2.295  -6.282  -7.190  -7.676
1.1653932333  0.6590  281.615   2.668  -2.299  -6.336  -7.263  -7.776
1.1653940678  0.6340  279.354   2.964  -2.151  -6.240  -7.221  -7.798
1.1653949022  0.6080  269.002   2.902  -2.184  -6.197  -7.191  -7.784
1.1653969288  0.5490    0.000  30.027  30.013  30.008  30.046  30.036
