# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
1.0664429665  0.9900   10.543   0.938  -0.159  -0.949  -1.466  -1.574
1.0665472746  0.9900   10.623   0.929  -0.170  -0.961  -1.480  -1.588
1.0666515827  0.9900   10.709   0.918  -0.183  -0.977  -1.497  -1.605
1.0667554140  0.9900   10.826   0.906  -0.198  -0.994  -1.516  -1.625
1.0668585300  0.9910   10.949   0.892  -0.216  -1.015  -1.538  -1.647
1.0669642687  0.9910   11.108   0.875  -0.238  -1.041  -1.567  -1.676
1.0670715570  0.9910   11.139   0.871  -0.243  -1.046  -1.572  -1.682
1.0671780109  0.9910   11.643   0.819  -0.310  -1.124  -1.657  -1.768
1.0672607422  0.9910   12.361   0.747  -0.403  -1.230  -1.774  -1.887
1.0673019886  0.9910   13.115   0.676  -0.494  -1.335  -1.889  -2.005
1.0673251152  0.9910   13.978   0.602  -0.591  -1.447  -2.012  -2.130
1.0673364401  0.9910   14.841   0.532  -0.682  -1.552  -2.127  -2.248
1.0673425198  0.9910   15.749   0.462  -0.774  -1.659  -2.243  -2.366
1.0673462152  0.9910   16.740   0.392  -0.866  -1.765  -2.359  -2.485
1.0673485994  0.9910   17.785   0.320  -0.957  -1.869  -2.470  -2.601
1.0673497915  0.9910   18.572   0.268  -1.021  -1.945  -2.548  -2.683
1.0673502684  0.9910   18.843   0.251  -1.043  -1.970  -2.576  -2.711
1.0673520565  0.9910   20.228   0.168  -1.147  -2.092  -2.703  -2.845
1.0673536062  0.9910   21.353   0.102  -1.229  -2.186  -2.804  -2.950
1.0673580170  0.9910   21.645   0.085  -1.249  -2.209  -2.827  -2.975
1.0673624277  0.9910   20.886   0.127  -1.197  -2.149  -2.764  -2.908
1.0674020052  0.9910   20.251   0.165  -1.151  -2.095  -2.707  -2.848
1.0674684048  0.9900   21.260   0.108  -1.221  -2.177  -2.794  -2.940
1.0675070286  0.9890   22.550   0.039  -1.308  -2.280  -2.901  -3.053
1.0675430298  0.9880   23.997  -0.032  -1.398  -2.386  -3.014  -3.172
1.0675749779  0.9870   25.566  -0.107  -1.492  -2.495  -3.130  -3.294
