# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
1.0501605272  0.9740   10.611   0.863  -0.206  -0.981  -1.493  -1.597
1.0502685308  0.9740   10.557   0.867  -0.200  -0.973  -1.484  -1.586
1.0503821373  0.9740   10.497   0.870  -0.193  -0.965  -1.474  -1.576
1.0504858494  0.9740   10.453   0.873  -0.188  -0.958  -1.466  -1.568
1.0505969524  0.9740   10.405   0.875  -0.184  -0.952  -1.459  -1.561
1.0507080555  0.9740   10.374   0.877  -0.180  -0.947  -1.452  -1.554
1.0508174896  0.9740   10.336   0.878  -0.177  -0.942  -1.447  -1.548
1.0509251356  0.9740   10.310   0.879  -0.174  -0.939  -1.442  -1.543
1.0509724617  0.9750   10.300   0.879  -0.173  -0.937  -1.440  -1.541
1.0510308743  0.9750   10.284   0.879  -0.172  -0.936  -1.438  -1.539
1.0511335135  0.9750   10.274   0.880  -0.171  -0.933  -1.435  -1.536
1.0512447357  0.9750   10.253   0.879  -0.170  -0.932  -1.433  -1.534
1.0513513088  0.9750   10.244   0.879  -0.170  -0.931  -1.432  -1.533
1.0514624119  0.9750   10.251   0.877  -0.171  -0.932  -1.432  -1.533
1.0515667200  0.9750   10.251   0.875  -0.173  -0.933  -1.433  -1.534
1.0516736507  0.9750   10.263   0.873  -0.175  -0.936  -1.436  -1.537
1.0517189503  0.9750   10.274   0.871  -0.177  -0.937  -1.438  -1.539
1.0517686605  0.9750   10.291   0.870  -0.179  -0.940  -1.440  -1.541
1.0518717766  0.9760   10.319   0.865  -0.184  -0.945  -1.446  -1.547
1.0519742966  0.9760   10.353   0.860  -0.190  -0.952  -1.454  -1.555
1.0520834923  0.9760   10.415   0.853  -0.199  -0.962  -1.464  -1.565
1.0521938801  0.9760   10.482   0.845  -0.209  -0.974  -1.477  -1.579
1.0522971153  0.9760   10.567   0.835  -0.221  -0.988  -1.493  -1.595
1.0524022579  0.9760   10.670   0.824  -0.236  -1.004  -1.511  -1.613
1.0525052547  0.9760   10.773   0.811  -0.252  -1.023  -1.531  -1.634
1.0526105165  0.9760   10.926   0.795  -0.273  -1.047  -1.558  -1.660
1.0527229309  0.9770   11.027   0.782  -0.288  -1.064  -1.576  -1.679
1.0528141260  0.9770   10.956   0.790  -0.278  -1.053  -1.564  -1.666
1.0529217720  0.9770   11.260   0.757  -0.320  -1.101  -1.617  -1.720
1.0530265570  0.9770   11.908   0.690  -0.405  -1.199  -1.724  -1.830
1.0530869961  0.9770   12.655   0.617  -0.498  -1.307  -1.843  -1.950
1.0531177521  0.9770   13.457   0.543  -0.593  -1.416  -1.963  -2.072
1.0531339645  0.9770   14.317   0.469  -0.687  -1.525  -2.081  -2.193
1.0531423092  0.9770   15.200   0.399  -0.778  -1.630  -2.198  -2.312
1.0531469584  0.9770   16.157   0.328  -0.872  -1.737  -2.316  -2.432
1.0531498194  0.9770   17.181   0.253  -0.965  -1.845  -2.431  -2.551
1.0531517267  0.9770   18.233   0.183  -1.054  -1.948  -2.540  -2.665
1.0531518459  0.9770   18.254   0.182  -1.055  -1.950  -2.542  -2.667
1.0531526804  0.9770   18.804   0.145  -1.101  -2.003  -2.598  -2.725
1.0531543493  0.9770   19.969   0.072  -1.190  -2.105  -2.707  -2.838
1.0531560183  0.9770   20.671   0.031  -1.242  -2.167  -2.771  -2.905
1.0531606674  0.9770   20.538   0.037  -1.234  -2.157  -2.760  -2.894
1.0531657934  0.9770   19.699   0.088  -1.171  -2.083  -2.683  -2.814
1.0532127619  0.9760   19.668   0.090  -1.169  -2.081  -2.681  -2.811
1.0532635450  0.9750   20.920   0.017  -1.259  -2.187  -2.792  -2.928
