# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
0.8544167280  0.7770  115.866  -1.980  -3.983  -5.301  -6.152  -6.376
0.8544204235  0.7730  119.938  -1.991  -4.029  -5.361  -6.215  -6.444
# 0.8544204235  0.7720    8.808   0.660  -0.192  -0.815  -1.216  -1.303
0.8544850945  0.7720    8.992   0.628  -0.228  -0.855  -1.258  -1.346
0.8545498252  0.7720    9.027   0.620  -0.237  -0.864  -1.268  -1.356
0.8546101451  0.7720    9.044   0.616  -0.240  -0.867  -1.270  -1.358
0.8546707034  0.7720    9.027   0.615  -0.240  -0.866  -1.268  -1.355
0.8547320962  0.7720    8.996   0.615  -0.238  -0.861  -1.262  -1.349
0.8547948003  0.7720    8.947   0.617  -0.233  -0.855  -1.254  -1.341
0.8548572063  0.7720    8.907   0.619  -0.228  -0.848  -1.245  -1.332
0.8549186587  0.7720    8.858   0.622  -0.223  -0.841  -1.236  -1.323
0.8549830317  0.7720    8.810   0.624  -0.218  -0.834  -1.227  -1.314
0.8550431132  0.7720    8.775   0.626  -0.214  -0.828  -1.220  -1.306
0.8551082015  0.7720    8.741   0.627  -0.210  -0.822  -1.213  -1.299
0.8551713824  0.7720    8.711   0.628  -0.207  -0.818  -1.207  -1.293
0.8552333117  0.7730    8.681   0.629  -0.204  -0.814  -1.202  -1.287
0.8552826643  0.7730    8.659   0.629  -0.203  -0.811  -1.198  -1.284
0.8552951217  0.7730    8.655   0.629  -0.203  -0.811  -1.198  -1.283
0.8553563356  0.7730    8.643   0.629  -0.201  -0.809  -1.195  -1.280
0.8554157019  0.7730    8.631   0.629  -0.201  -0.808  -1.193  -1.278
0.8554775119  0.7730    8.627   0.628  -0.202  -0.808  -1.193  -1.278
0.8555399776  0.7730    8.633   0.626  -0.203  -0.809  -1.194  -1.279
0.8555992842  0.7730    8.643   0.624  -0.205  -0.811  -1.196  -1.281
0.8556633592  0.7730    8.657   0.620  -0.209  -0.815  -1.200  -1.286
0.8557258844  0.7730    8.689   0.616  -0.214  -0.821  -1.207  -1.292
0.8557384610  0.7730    8.689   0.615  -0.215  -0.822  -1.208  -1.294
0.8557955027  0.7730    8.735   0.610  -0.221  -0.829  -1.216  -1.302
0.8558546305  0.7730    8.781   0.605  -0.229  -0.838  -1.226  -1.311
0.8559164405  0.7730    8.832   0.597  -0.238  -0.849  -1.238  -1.324
0.8559755683  0.7730    8.897   0.589  -0.248  -0.861  -1.251  -1.337
0.8560324311  0.7730    8.967   0.581  -0.260  -0.874  -1.266  -1.352
0.8560894132  0.7730    9.048   0.571  -0.272  -0.888  -1.282  -1.369
0.8561471701  0.7740    9.119   0.561  -0.284  -0.903  -1.298  -1.385
0.8562040925  0.7740    9.144   0.557  -0.289  -0.908  -1.304  -1.391
0.8562660813  0.7740    9.261   0.543  -0.307  -0.928  -1.327  -1.414
0.8563243151  0.7740    9.437   0.521  -0.335  -0.961  -1.364  -1.452
0.8563832641  0.7740    9.774   0.481  -0.386  -1.021  -1.430  -1.518
0.8564406037  0.7740   10.300   0.417  -0.466  -1.114  -1.534  -1.624
0.8564746976  0.7740   10.921   0.345  -0.555  -1.216  -1.648  -1.738
0.8564911485  0.7740   11.568   0.276  -0.641  -1.316  -1.758  -1.850
0.8564999104  0.7740   12.324   0.197  -0.738  -1.427  -1.882  -1.974
0.8565040231  0.7740   13.084   0.124  -0.829  -1.532  -1.998  -2.092
0.8565063477  0.7740   13.885   0.050  -0.919  -1.636  -2.113  -2.208
0.8565075994  0.7740   14.610  -0.013  -0.997  -1.726  -2.214  -2.310
0.8565081954  0.7740   15.047  -0.048  -1.041  -1.776  -2.271  -2.367
0.8565090895  0.7740   15.869  -0.121  -1.127  -1.875  -2.377  -2.474
0.8565101027  0.7740   16.829  -0.201  -1.222  -1.982  -2.492  -2.590
0.8565111160  0.7740   17.533  -0.253  -1.286  -2.053  -2.570  -2.668
0.8565138578  0.7740   17.732  -0.269  -1.304  -2.074  -2.591  -2.690
0.8565165997  0.7730   17.122  -0.223  -1.249  -2.011  -2.524  -2.622
0.8565478921  0.7710   17.185  -0.228  -1.255  -2.019  -2.532  -2.630
0.8565747738  0.7690   18.262  -0.306  -1.351  -2.126  -2.648  -2.748
0.8565928936  0.7680   19.492  -0.390  -1.453  -2.243  -2.772  -2.874
