# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
5.310984612 5.119 455.7772512 3278.687312 -0.173 -1.925 -5.743 -7.932 -8.833 -9.236
5.311008453 5.115 476.4887429 3253.119373 -0.212 -1.647 -5.652 -7.981 -8.897 -9.322
5.311030388 5.114 476.4887429 3253.119373 -0.212 -1.649 -5.653 -7.982 -8.898 -9.322
5.311031342 5.114 600.9697952 3125.359644 -0.413 -0.006 -4.977 -8.135 -9.172 -9.753
5.311031818 5.114 591.4971342 3134.007273 -0.399 -0.13 -5.036 -8.132 -9.158 -9.724
5.311033249 5.113 520.0590339 3204.793123 -0.288 -1.011 -5.407 -8.044 -9.005 -9.489
5.31103611 5.113 421.6505245 3323.533036 -0.106 -2.318 -5.85 -7.827 -8.71 -9.084
5.311040401 5.112 449.5237529 3286.245467 -0.162 -2.004 -5.767 -7.914 -8.811 -9.208
5.3110466 5.11 471.46846 3259.117363 -0.203 -1.728 -5.681 -7.972 -8.883 -9.3
5.311055183 5.108 485.1238708 3242.64944 -0.229 -1.516 -5.606 -7.997 -8.921 -9.357
5.311065674 5.105 495.5102525 3230.725057 -0.246 -1.373 -5.553 -8.015 -8.948 -9.396
5.311079502 5.102 504.4900961 3220.327198 -0.262 -1.249 -5.505 -8.031 -8.971 -9.43
5.311096191 5.097 514.6981946 3208.484902 -0.28 -1.089 -5.438 -8.042 -8.994 -9.468
5.311096191 5.097 514.6981946 3208.484902 -0.28 2.751 -3.495 -8.042 -8.994 -9.468
