# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
1.063546777 1.049 45.85140466 3831.775004 1.134 -3.452 -4.232 -4.459 -2.488 -3.659 -4.453
1.063569903 1.049 48.61302483 3803.645203 1.083 -3.554 -4.343 -4.575 -2.576 -3.765 -4.569
1.063591242 1.048 51.50538583 3774.852617 1.032 -3.656 -4.452 -4.691 -2.662 -3.871 -4.684
1.063611388 1.046 54.62011936 3744.553156 0.98 -3.759 -4.563 -4.807 -2.748 -3.978 -4.801
1.063630223 1.045 57.89654461 3715.352291 0.929 -3.86 -4.673 -4.923 -2.833 -4.083 -4.916
1.063651562 1.044 62.1945951 3678.74767 0.867 -3.985 -4.805 -5.063 -2.933 -4.212 -5.056
1.063670874 1.042 66.62736605 3643.342501 0.806 -4.106 -4.935 -5.199 -3.029 -4.337 -5.192
1.063688517 1.04 71.37607214 3608.27808 0.746 -4.225 -5.062 -5.334 -3.12 -4.46 -5.326
1.063705087 1.038 76.4104302 3572.728382 0.685 -4.343 -5.188 -5.468 -3.208 -4.583 -5.46
1.063720226 1.036 81.70575451 3537.528928 0.626 -4.459 -5.313 -5.6 -3.29 -4.703 -5.592
1.063734293 1.033 87.30771957 3501.869841 0.567 -4.575 -5.435 -5.731 -3.364 -4.821 -5.723
1.063747525 1.031 93.44426338 3465.77209 0.508 -4.689 -5.557 -5.861 -3.436 -4.939 -5.852
1.063759565 1.028 99.73616038 3430.836328 0.45 -4.802 -5.675 -5.987 -3.494 -5.054 -5.979
1.063770771 1.024 106.3292241 3396.252726 0.393 -4.914 -5.792 -6.113 -3.55 -5.168 -6.104
1.063781142 1.021 113.3581226 3362.017735 0.336 -5.023 -5.905 -6.236 -3.587 -5.278 -6.226
1.063790798 1.017 120.6292548 3327.361598 0.28 -5.13 -6.016 -6.357 -3.616 -5.385 -6.346
1.063799858 1.013 128.3076778 3293.821045 0.224 -5.235 -6.125 -6.475 -3.628 -5.49 -6.465
1.063808441 1.008 136.3806151 3259.867889 0.169 -5.339 -6.233 -6.594 -3.623 -5.594 -6.582
1.063816309 1.003 144.9614902 3226.264727 0.115 -5.439 -6.338 -6.708 -3.618 -5.693 -6.695
1.0638237 0.998 153.586359 3194.478724 0.062 -5.536 -6.438 -6.816 -3.612 -5.788 -6.803
1.063830972 0.992 162.7243872 3163.005885 0.009 -5.632 -6.539 -6.927 -3.596 -5.883 -6.912
1.063836694 0.986 169.766754 3139.785648 -0.031 -5.703 -6.613 -7.006 -3.587 -5.952 -6.99
1.063836694 0.987 10.71649202 4659.078201 2.37 -0.951 -1.52 -1.62 -3.587 -5.952 -6.99
1.063935757 0.987 10.84058315 4653.717326 2.36 -0.973 -1.543 -1.644 -0.314 -1.088 -1.641
1.064037204 0.987 10.90065626 4651.574703 2.355 -0.983 -1.554 -1.654 -0.323 -1.098 -1.652
1.064138651 0.987 10.87808993 4653.717326 2.356 -0.982 -1.552 -1.653 -0.323 -1.097 -1.65
1.064240813 0.987 10.83309732 4658.005532 2.36 -0.975 -1.544 -1.645 -0.318 -1.09 -1.642
1.06434679 0.987 10.78332376 4663.371347 2.365 -0.967 -1.534 -1.634 -0.311 -1.081 -1.632
1.064448595 0.988 10.71649202 4669.818486 2.37 -0.959 -1.524 -1.624 -0.305 -1.072 -1.621
1.064555883 0.988 10.65498015 4675.197909 2.375 -0.95 -1.514 -1.613 -0.297 -1.063 -1.61
1.064658999 0.988 10.59382135 4680.583529 2.379 -0.942 -1.504 -1.603 -0.291 -1.054 -1.601
1.06475997 0.988 10.5500045 4684.896492 2.384 -0.935 -1.496 -1.594 -0.285 -1.047 -1.592
1.06487 0.988 10.50636888 4689.213428 2.387 -0.928 -1.488 -1.586 -0.28 -1.039 -1.583
1.06498003 0.988 10.46291374 4693.534343 2.391 -0.922 -1.481 -1.579 -0.275 -1.033 -1.576
1.065090537 0.988 10.41963833 4697.859239 2.394 -0.917 -1.474 -1.572 -0.271 -1.027 -1.569
1.065198064 0.989 10.39328041 4701.105527 2.397 -0.913 -1.469 -1.567 -0.267 -1.023 -1.564
1.065246344 0.989 10.38849523 4702.188121 2.398 -0.911 -1.467 -1.564 -0.266 -1.021 -1.562
1.065279603 0.989 10.37176444 4703.270964 2.398 -0.91 -1.466 -1.563 -0.265 -1.02 -1.56
1.065382719 0.989 10.34552763 4706.520991 2.4 -0.907 -1.462 -1.559 -0.263 -1.016 -1.556
1.065482855 0.989 10.33600343 4708.688923 2.402 -0.904 -1.459 -1.556 -0.261 -1.014 -1.553
1.065578818 0.989 10.31935718 4709.773264 2.403 -0.903 -1.457 -1.554 -0.261 -1.013 -1.552
1.065682054 0.989 10.31460604 4710.857854 2.403 -0.903 -1.457 -1.553 -0.26 -1.012 -1.551
1.065779686 0.989 10.32173357 4711.942694 2.404 -0.903 -1.457 -1.553 -0.261 -1.012 -1.551
1.065879822 0.989 10.32173357 4711.942694 2.403 -0.905 -1.458 -1.555 -0.263 -1.014 -1.552
1.065977931 0.989 10.33362375 4711.942694 2.402 -0.908 -1.461 -1.558 -0.266 -1.017 -1.555
1.065984964 0.989 10.33362375 4711.942694 2.402 -0.908 -1.461 -1.558 -0.266 -1.017 -1.555
1.066027522 0.99 10.34552763 4711.942694 2.401 -0.91 -1.463 -1.56 -0.267 -1.019 -1.557
1.066132426 0.99 10.37415291 4710.857854 2.399 -0.915 -1.469 -1.565 -0.272 -1.024 -1.563
1.0662359 0.99 10.41963833 4708.688923 2.396 -0.922 -1.476 -1.573 -0.279 -1.031 -1.57
1.066339016 0.99 10.47014376 4705.4374 2.392 -0.93 -1.485 -1.582 -0.286 -1.04 -1.58
1.066444874 0.99 10.520894 4702.188121 2.387 -0.94 -1.496 -1.594 -0.295 -1.05 -1.591
1.066549063 0.99 10.60114183 4697.859239 2.38 -0.953 -1.51 -1.608 -0.307 -1.064 -1.605
1.066653371 0.99 10.68692213 4692.453741 2.373 -0.968 -1.527 -1.625 -0.321 -1.079 -1.623
1.066757321 0.99 10.80320569 4685.975353 2.365 -0.986 -1.546 -1.645 -0.336 -1.097 -1.642
1.066860318 0.991 10.92578487 4678.428537 2.355 -1.006 -1.568 -1.668 -0.354 -1.118 -1.665
1.066966176 0.991 11.08543258 4668.743344 2.342 -1.032 -1.597 -1.697 -0.377 -1.145 -1.694
1.067073345 0.991 11.11610511 4667.66845 2.339 -1.037 -1.603 -1.703 -0.382 -1.151 -1.7
1.067179918 0.991 11.61856909 4639.8079 2.301 -1.114 -1.688 -1.79 -0.451 -1.231 -1.787
1.067262649 0.991 12.33538318 4602.565736 2.249 -1.221 -1.804 -1.909 -0.546 -1.341 -1.906
1.067303777 0.991 13.08737796 4564.57135 2.197 -1.325 -1.92 -2.028 -0.64 -1.45 -2.025
