# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
0.852391243 0.77 8.981577979 5246.866328 2.415 0.618 -0.244 -0.859 -1.291 -1.357
0.8524510264 0.77 8.969178038 5250.491987 2.417 0.617 -0.244 -0.858 -1.289 -1.355
0.8525115848 0.77 8.934137761 5257.750823 2.42 0.618 -0.241 -0.853 -1.283 -1.349
0.8525734544 0.77 8.895137072 5266.232149 2.424 0.62 -0.236 -0.847 -1.275 -1.341
0.852635026 0.77 8.846116302 5274.727157 2.429 0.622 -0.231 -0.84 -1.266 -1.332
0.8526956439 0.77 8.797365684 5283.235868 2.433 0.624 -0.226 -0.833 -1.257 -1.322
0.8527592421 0.771 8.758962053 5291.758304 2.438 0.626 -0.221 -0.826 -1.249 -1.313
0.8528184891 0.771 8.714704085 5299.074191 2.442 0.628 -0.217 -0.82 -1.241 -1.306
0.8528826833 0.771 8.680657972 5306.400192 2.445 0.629 -0.214 -0.814 -1.234 -1.298
0.8529449701 0.771 8.646744869 5313.736321 2.448 0.631 -0.21 -0.81 -1.228 -1.292
0.8530061245 0.771 8.620900743 5318.632708 2.451 0.631 -0.208 -0.806 -1.223 -1.287
0.8530548811 0.771 8.605035074 5323.533606 2.453 0.632 -0.206 -0.803 -1.22 -1.283
0.8530671 0.771 8.605035074 5323.533606 2.453 0.632 -0.206 -0.803 -1.219 -1.282
0.8531276584 0.771 8.579315614 5328.43902 2.455 0.632 -0.205 -0.801 -1.216 -1.279
0.8531863689 0.771 8.57141741 5330.893422 2.456 0.631 -0.205 -0.8 -1.214 -1.278
0.8532474637 0.771 8.577340381 5332.121047 2.456 0.63 -0.205 -0.8 -1.214 -1.277
0.8533092737 0.771 8.573391279 5333.348955 2.456 0.628 -0.207 -0.801 -1.215 -1.278
0.8533678651 0.771 8.583267445 5333.348955 2.455 0.626 -0.209 -0.803 -1.218 -1.281
0.8534312844 0.771 8.607016685 5332.121047 2.453 0.623 -0.213 -0.808 -1.222 -1.285
0.8534930944 0.771 8.628844543 5328.43902 2.451 0.619 -0.218 -0.813 -1.228 -1.291
0.8535057306 0.771 8.638784589 5328.43902 2.45 0.618 -0.219 -0.815 -1.23 -1.293
0.8535630107 0.771 8.674663656 5323.533606 2.446 0.613 -0.225 -0.822 -1.238 -1.301
0.8536223769 0.772 8.720726069 5318.632708 2.441 0.606 -0.233 -0.831 -1.248 -1.312
