# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
1.144821048 1.084 14.20210257 4538.371048 2.166 0.552 -0.645 -1.484 -2.086 -2.196
1.14483726 1.084 15.07136698 4502.979813 2.114 0.481 -0.737 -1.59 -2.202 -2.316
1.144845605 1.084 15.9864725 4468.893449 2.063 0.412 -0.827 -1.693 -2.315 -2.432
1.144850612 1.084 16.93763013 4435.06511 2.012 0.344 -0.916 -1.795 -2.428 -2.548
1.14485395 1.084 17.99503289 4400.479478 1.96 0.273 -1.007 -1.9 -2.54 -2.665
1.144855619 1.084 18.73064121 4378.244391 1.925 0.223 -1.069 -1.971 -2.615 -2.743
1.144856334 1.084 19.08765799 4367.169015 1.908 0.2 -1.097 -2.004 -2.649 -2.779
1.14485848 1.084 20.32603387 4333.112852 1.854 0.125 -1.191 -2.112 -2.764 -2.9
1.144860387 1.084 21.35269245 4306.257543 1.811 0.066 -1.264 -2.197 -2.853 -2.995
1.144862175 1.084 22.05731497 4288.446535 1.783 0.026 -1.313 -2.254 -2.913 -3.057
1.144864321 1.084 22.60230051 4275.628862 1.762 -0.003 -1.349 -2.296 -2.957 -3.104
1.144869804 1.084 21.8098483 4295.364268 1.793 0.039 -1.297 -2.235 -2.893 -3.036
1.144873738 1.084 21.28397033 4308.241105 1.814 0.07 -1.259 -2.191 -2.847 -2.988
1.144882321 1.084 20.54719984 4327.130569 1.844 0.112 -1.207 -2.131 -2.784 -2.921
1.144900203 1.084 20.42455696 4330.120677 1.85 0.12 -1.198 -2.121 -2.773 -2.909
1.14499557 1.083 20.97261792 4315.190768 1.826 0.088 -1.237 -2.166 -2.821 -2.96
1.145057797 1.082 22.40539707 4279.568675 1.769 0.008 -1.336 -2.281 -2.941 -3.087
1.145110488 1.082 24.02440524 4241.309839 1.708 -0.074 -1.439 -2.401 -3.067 -3.221
1.14515543 1.081 25.74854215 4204.361011 1.648 -0.153 -1.538 -2.518 -3.191 -3.352
1.145192981 1.08 27.52026711 4168.693835 1.59 -0.231 -1.635 -2.631 -3.311 -3.48
1.14522481 1.079 29.3192357 4135.233143 1.534 -0.304 -1.728 -2.741 -3.427 -3.603
1.145252585 1.078 31.28618758 4101.096609 1.478 -0.373 -1.821 -2.851 -3.545 -3.727
1.145277023 1.077 33.33133011 4068.178498 1.422 -0.436 -1.915 -2.962 -3.666 -3.854
1.145298958 1.075 35.52651808 4034.595502 1.366 -0.496 -2.008 -3.072 -3.786 -3.981
1.145319104 1.074 37.86628025 4001.289735 1.31 -0.555 -2.102 -3.183 -3.908 -4.108
1.14533782 1.072 40.56510877 3958.220648 1.249 -0.597 -2.191 -3.296 -4.034 -4.241
1.145355344 1.07 43.69710295 3904.810837 1.184 -0.616 -2.276 -3.411 -4.166 -4.382
1.14536798 1.069 46.14797459 3868.120546 1.136 -0.63 -2.341 -3.498 -4.264 -4.487
1.145383954 1.066 49.27795139 3832.657404 1.078 -0.666 -2.429 -3.609 -4.386 -4.615
1.145398736 1.064 52.53547277 3798.393902 1.022 -0.7 -2.516 -3.718 -4.506 -4.742
1.145412684 1.06 55.96965693 3763.570017 0.965 -0.714 -2.599 -3.827 -4.624 -4.866
1.145425677 1.057 59.82085898 3727.348497 0.906 -0.726 -2.685 -3.941 -4.748 -4.997
1.145435572 1.054 63.76063665 3692.325673 0.849 -0.722 -2.764 -4.052 -4.867 -5.123
1.145442128 1.051 67.66321742 3659.31672 0.796 -0.708 -2.835 -4.154 -4.977 -5.24
1.145447373 1.049 72.06968848 3624.098559 0.741 -0.686 -2.906 -4.259 -5.091 -5.361
1.145452023 1.046 76.79848359 3588.392993 0.685 -0.638 -2.972 -4.367 -5.207 -5.485
1.145456433 1.043 81.87525108 3552.221185 0.627 -0.587 -3.037 -4.476 -5.325 -5.61
1.145460486 1.04 87.22734321 3515.604405 0.57 -0.505 -3.088 -4.584 -5.441 -5.734
1.14546454 1.036 93.42274952 3476.161938 0.51 -0.409 -3.139 -4.698 -5.563 -5.865
1.145468712 1.031 100.1965216 3434.788499 0.447 -0.27 -3.173 -4.816 -5.688 -6
1.145472884 1.025 106.9430694 3396.252726 0.388 -0.126 -3.197 -4.926 -5.803 -6.125
1.145477533 1.017 114.117604 3356.603167 0.328 0.061 -3.191 -5.035 -5.918 -6.25
1.145482421 1.007 121.0466138 3319.708879 0.273 0.248 -3.174 -5.13 -6.018 -6.36
1.145485401 1.001 129.8531965 3277.932453 0.209 0.516 -3.12 -5.247 -6.14 -6.495
1.145485997 0.999 132.2064503 3267.382661 0.192 0.588 -3.103 -5.276 -6.171 -6.528
1.14548707 0.997 106.2557999 3391.563869 0.381 -0.08 -3.17 -4.908 -5.787 -6.109
1.145487189 0.996 105.8163178 3394.689054 0.385 -0.094 -3.17 -4.902 -5.78 -6.102
1.145487308 0.996 109.4088983 3375.20379 0.356 -0.009 -3.173 -4.958 -5.839 -6.166
1.145487428 0.996 109.3585252 3375.981049 0.356 -0.013 -3.174 -4.958 -5.838 -6.165
1.145487547 0.996 113.6717758 3353.513045 0.322 0.094 -3.17 -5.022 -5.906 -6.239
1.145487785 0.995 119.8540309 3322.767852 0.276 0.246 -3.163 -5.111 -5.999 -6.34
1.145488024 0.995 127.3657463 3287.00224 0.223 0.46 -3.127 -5.212 -6.104 -6.456
1.145488381 0.994 135.0680546 3253.119373 0.171 0.692 -3.075 -5.31 -6.207 -6.569
1.14548862 0.993 143.6655517 3216.621793 0.117 0.909 -3.024 -5.411 -6.312 -6.683
1.145489097 0.992 153.4449658 3177.605657 0.06 1.138 -2.96 -5.519 -6.424 -6.806
1.145489573 0.99 162.9493547 3142.67883 0.007 1.339 -2.892 -5.614 -6.525 -6.916
1.145490289 0.986 173.8011496 3103.130215 -0.051 1.548 -2.815 -5.718 -6.634 -7.036
1.145490885 0.982 180.1991113 3081.058895 -0.084 1.636 -2.78 -5.774 -6.692 -7.099
1.145491004 0.982 112.2154473 3351.96905 0.327 0.135 -3.136 -4.994 -5.878 -6.211
1.145491004 0.982 112.2154473 3351.96905 0.327 -0.371 -3.087 -4.994 -5.878 -6.211
1.145491123 0.981 67.07375881 3671.131997 0.774 -0.738 -2.836 -4.144 -4.962 -5.224
1.145491362 0.98 69.99268355 3641.665066 0.737 -0.705 -2.877 -4.212 -5.038 -5.305
1.145491719 0.978 87.428423 3499.45167 0.542 -0.411 -3.053 -4.575 -5.435 -5.731
1.145492077 0.976 116.2927512 3325.063932 0.294 0.287 -3.107 -5.047 -5.934 -6.275
1.145492554 0.974 147.1813035 3187.131627 0.088 1.131 -2.922 -5.436 -6.341 -6.719
1.14549303 0.971 171.4165085 3099.55966 -0.045 1.6 -2.768 -5.683 -6.6 -7.002
1.145493627 0.969 185.2902831 3054.217773 -0.115 1.718 -2.724 -5.81 -6.732 -7.144
1.145494223 0.965 192.2882048 3031.098154 -0.148 1.767 -2.701 -5.867 -6.791 -7.208
1.145494938 0.962 196.4050476 3016.476873 -0.168 1.8 -2.682 -5.897 -6.823 -7.243
1.145494938 0.962 196.4050476 3016.476873 -0.168 1.007 -2.917 -5.897 -6.823 -7.243
1.145495057 0.961 100.2888485 3397.817118 0.415 -0.003 -3.063 -4.787 -5.666 -5.986
1.145495295 0.96 73.95246334 3585.915075 0.679 -0.543 -2.886 -4.284 -5.125 -5.403
1.145495534 0.958 77.09969231 3558.770648 0.642 -0.492 -2.921 -4.351 -5.199 -5.483
1.145495892 0.956 95.9958912 3421.369661 0.451 -0.085 -3.04 -4.713 -5.588 -5.902
1.145496249 0.953 127.1606224 3253.868518 0.206 0.803 -2.949 -5.177 -6.075 -6.435
