# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
5.078530312 5.078 74.79156913 4264.813065 1.393 -4.888 -5.517 -5.684 -4.091 -5.024 -5.678
5.07896328 5.078 80.19598849 4221.822791 1.332 -5.005 -5.647 -5.82 -4.193 -5.147 -5.815
5.079402447 5.079 85.63526477 4183.116887 1.275 -5.117 -5.771 -5.949 -4.29 -5.264 -5.944
5.079879284 5.079 91.75983941 4144.76584 1.216 -5.235 -5.9 -6.085 -4.394 -5.387 -6.079
5.080355167 5.08 98.07371913 4109.604233 1.158 -5.351 -6.027 -6.217 -4.496 -5.508 -6.212
5.080831051 5.08 104.7737878 4075.679266 1.101 -5.466 -6.152 -6.348 -4.598 -5.628 -6.343
5.081279755 5.081 110.9053878 4046.690595 1.051 -5.566 -6.261 -6.463 -4.687 -5.732 -6.457
5.081952095 5.081 116.6413788 4021.610443 1.008 -5.653 -6.355 -6.562 -4.763 -5.823 -6.556
5.08301878 5.082 119.9092385 4007.744253 0.983 -5.703 -6.409 -6.618 -4.807 -5.874 -6.612
5.085279942 5.085 118.1279439 4016.983057 0.997 -5.676 -6.38 -6.587 -4.784 -5.846 -6.581
5.092459202 5.092 111.2891037 4051.352202 1.05 -5.576 -6.268 -6.469 -4.698 -5.741 -6.464
5.096884251 5.096 105.9138231 4079.434834 1.092 -5.493 -6.178 -6.374 -4.627 -5.654 -6.368
5.100474358 5.1 100.682188 4107.712126 1.137 -5.407 -6.082 -6.273 -4.551 -5.564 -6.268
5.103892803 5.103 95.35701437 4139.043588 1.185 -5.314 -5.98 -6.166 -4.47 -5.467 -6.161
5.107273579 5.107 90.06429314 4171.574461 1.234 -5.217 -5.874 -6.054 -4.386 -5.365 -6.049
5.110626221 5.11 85.16333201 4204.361011 1.283 -5.121 -5.768 -5.944 -4.302 -5.265 -5.938
5.114607334 5.114 79.97470464 4242.286549 1.339 -5.014 -5.649 -5.819 -4.209 -5.152 -5.814
5.12024641 5.12 73.91841482 4292.39816 1.407 -4.882 -5.503 -5.666 -4.096 -5.015 -5.661
5.126337528 5.126 69.12778555 4340.102636 1.466 -4.774 -5.38 -5.537 -4.004 -4.9 -5.532
5.137061119 5.137 63.8487861 4410.623631 1.535 -4.656 -5.244 -5.391 -3.91 -4.775 -5.386
5.146041393 5.146 61.44020341 4462.723708 1.57 -4.612 -5.187 -5.327 -3.884 -4.725 -5.322
5.153747559 5.153 61.03130338 4526.890609 1.577 -4.643 -5.2 -5.333 -3.937 -4.75 -5.329
5.159693241 5.159 60.93301178 4596.211447 1.579 -4.69 -5.226 -5.353 -4.006 -4.788 -5.349
5.16298008 5.163 60.89093528 4675.197909 1.579 -4.747 -5.27 -5.386 -4.088 -4.841 -5.382
5.164834023 5.165 60.52748724 4748.976276 1.584 -4.785 -5.296 -5.402 -4.149 -4.876 -5.399
5.166514873 5.166 59.64206131 4839.494493 1.597 -4.814 -5.31 -5.406 -4.205 -4.9 -5.403
5.167716503 5.167 58.15039175 4940.831009 1.62 -4.817 -5.288 -5.377 -4.238 -4.895 -5.375
5.168682575 5.168 56.38357967 5046.612976 1.647 -4.81 -5.255 -5.337 -4.26 -4.88 -5.334
5.169579506 5.169 54.41926162 5160.597647 1.678 -4.794 -5.211 -5.288 -4.274 -4.855 -5.286
5.170462131 5.17 52.40257701 5277.156818 1.71 -4.773 -5.163 -5.235 -4.282 -4.827 -5.233
