# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:22:59 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00051413 -1.48000 10.14613 0.7556435466 2.4021589756    0.755  0.388  3.7958  4.063    1  0.000  0.530     0.00     0.00 -1    -1e-13      0.00 8.631e-01 1.365e-01 5.569e-05 1.533e-05 1.402e-04 -1.000 3.266e-04 3.800 4.123 4.331 3.907 3.603 3.308 2.951 2.657 2.631
0.00051413 -1.48000 10.14613 0.7563070059 2.4024231434    0.755  0.397  3.7952  4.051    1  0.000  0.530     0.00     0.00 -1  -8.3e-14      0.00 8.631e-01 1.366e-01 5.574e-05 1.535e-05 1.403e-04 -1.000 3.285e-04 3.776 4.102 4.309 3.884 3.579 3.283 2.925 2.630 2.603
0.00051413 -1.48000 10.14613 0.7576028705 2.4029378891    0.756  0.418  3.7934  4.025    2  0.000  0.530     0.00     0.00 -1 -9.35e-14      0.00 8.628e-01 1.368e-01 5.588e-05 1.539e-05 1.407e-04 -1.000 3.296e-04 3.726 4.059 4.264 3.834 3.526 3.228 2.865 2.567 2.539
0.00051413 -1.48000 10.14613 0.7601514459 2.4039442539    0.759  0.463  3.7877  3.958    2  0.000  0.530     0.00     0.00 -1  -1.2e-13      0.00 8.623e-01 1.374e-01 5.623e-05 1.548e-05 1.415e-04 -1.000 3.343e-04 3.613 3.971 4.171 3.725 3.407 3.100 2.724 2.416 2.385
0.00051413 -1.48000 10.14613 0.7620048523 2.4046711922    0.761  0.502  3.7807  3.892    2  0.000  0.530     0.00     0.00 -1  -1.5e-13      0.00 8.570e-01 1.426e-01 5.832e-05 1.605e-05 1.467e-04 -1.000 3.387e-04 3.515 3.907 4.099 3.633 3.302 2.983 2.592 2.271 2.236
0.00051413 -1.48000 10.14613 0.7634148598 2.4052214622    0.762  0.537  3.7732  3.828    2  0.000  0.531     0.00     0.00 -1 -1.83e-13      0.00 8.350e-01 1.647e-01 6.614e-05 1.818e-05 1.660e-04 -1.000 3.437e-04 3.428 3.863 4.043 3.553 3.208 2.878 2.469 2.135 2.095
0.00051413 -1.48000 10.14613 0.7645549774 2.4056646824    0.763  0.569  3.7650  3.764    2  0.000  0.533     0.00     0.00 -1 -2.19e-13      0.00 8.088e-01 1.907e-01 7.437e-05 2.041e-05 1.860e-04 -1.000 4.178e-04 3.348 3.833 3.999 3.481 3.122 2.778 2.350 2.002 1.957
0.00051413 -1.48000 10.14613 0.7655503154 2.4060504436    0.764  0.604  3.7565  3.696    2  0.000  0.535     0.00     0.00 -1 -5.16e-25      0.00 7.907e-01 2.088e-01 7.981e-05 2.185e-05 1.989e-04 -1.000 4.866e-04 3.261 3.803 3.951 3.405 3.029 2.672 2.224 1.861 1.810
0.00051413 -1.48000 10.14613 0.7663273811 2.4063508511    0.765  0.641  3.7500  3.632    2  0.000  0.536     0.00     0.00 -1 -1.04e-24      0.00 7.812e-01 2.184e-01 8.267e-05 2.262e-05 2.058e-04 -1.000 4.327e-04 3.166 3.755 3.888 3.320 2.932 2.564 2.101 1.726 1.670
0.00051413 -1.48000 10.14613 0.7669316530 2.4065840244    0.765  0.680  3.7456  3.576    2  0.000  0.536     0.00     0.00 -1  -1.8e-24      0.00 7.760e-01 2.235e-01 8.421e-05 2.303e-05 2.095e-04 -1.000 4.428e-04 3.070 3.694 3.814 3.231 2.835 2.459 1.985 1.602 1.544
