# The relationship between age and the maximum initial-mass of stars that are alive at that age.
# Values from input_files/CMD3.3*.dat, originally from the PARSEC isochrones model (references are given in CMD3.3*.dat)
#   Read CMD3.3-thin1.dat
# iage Minidie  MRGst        MRGen
725 1.1072529554 1.0795161724 1.1072529554
730 1.1051193476 1.0775210857 1.1051193476
735 1.1030045748 1.0755434036 1.1030045748
740 1.1009080410 1.0735825300 1.1009080410
745 1.0988295078 1.0716385841 1.0988295078
750 1.0967688560 1.0697109699 1.0967688560
755 1.0947248936 1.0677996874 1.0947248936
760 1.0926945210 1.0659043789 1.0926945210
765 1.0906811953 1.0640248060 1.0906811953
770 1.0886847973 1.0621608496 1.0886847973
775 1.0867048502 1.0603120327 1.0867048502
780 1.0847412348 1.0584783554 1.0847412348
785 1.0827937126 1.0566595793 1.0827937126
790 1.0808619261 1.0548554659 1.0808619261
795 1.0789458752 1.0530657768 1.0789458752
800 1.0770450830 1.0512902737 1.0770450830
805 1.0751594305 1.0495288372 1.0751594305
810 1.0732889175 1.0477812290 1.0732889175
815 1.0714477301 1.0460472107 1.0714477301
820 1.0696209669 1.0443266630 1.0696209669
825 1.0677945614 1.0415989161 1.0677945614
830 1.0659749508 1.0417180061 1.0659749508
835 1.0641692877 1.0382155180 1.0641692877
840 1.0623774529 1.0365430117 1.0623774529
845 1.0605993271 1.0348830223 1.0605993271
850 1.0588344336 1.0332355499 1.0588344336
855 1.0570830107 1.0316003561 1.0570830107
860 1.0553444624 1.0299773216 1.0553444624
865 1.0536190271 1.0283660889 1.0536190271
870 1.0519062281 1.0267666578 1.0519062281
875 1.0502060652 1.0251789093 1.0502060652
880 1.0485181808 1.0236027241 1.0485181808
885 1.0468426943 1.0220377445 1.0468426943
890 1.0451771021 1.0204839706 1.0451771021
895 1.0435181856 1.0189412832 1.0435181856
900 1.0418709517 1.0174094439 1.0418709517
905 1.0402356386 1.0158884525 1.0402356386
910 1.0386116505 1.0143780708 1.0386116505
915 1.0369991064 1.0128781796 1.0369991064
920 1.0353980064 1.0113886595 1.0353980064
925 1.0338078737 1.0099093914 1.0338078737
930 1.0322288275 1.0084402561 1.0322288275
935 1.0306742191 1.0069811344 1.0306742191
940 1.0291311741 1.0055317879 1.0291311741
945 1.0275940895 1.0040923357 1.0275940895
950 1.0260649920 1.0026624203 1.0260649920
955 1.0245461464 1.0012420416 1.0245461464
960 1.0230374336 0.9998311400 1.0230374336
965 1.0215387344 0.9984295368 1.0215387344
970 1.0200500488 0.9970371127 1.0200500488
975 1.0185710192 0.9956537485 1.0185710192
980 1.0171017647 0.9942793846 1.0171017647
985 1.0156421661 0.9929113388 1.0156421661
990 1.0141918659 0.9915360212 1.0141918659
995 1.0127511024 0.9901694655 1.0127511024
1000 1.0113195181 0.9888116717 1.0113195181
#   Read CMD3.3-thick2.dat
1200 0.8567695618 0.8489332795 0.8567695618
#   Read CMD3.3-halo.dat
1400 0.7761976123 0.7729209065 0.7761976123
#   Read CMD3.3-bar_age.dat
B 100 2.3065266609 2.1119546890 2.3065266609
B 150 1.9999334812 1.8330439329 1.9999334812
B 200 1.7264221907 1.6622326374 1.7264221907
B 250 1.5922399759 1.5431919098 1.5922399759
B 300 1.4965139627 1.4500000477 1.4965139627
B 350 1.4142400026 1.3532578945 1.4142400026
B 400 1.3522768021 1.2952982187 1.3522768021
B 450 1.3033635616 1.2532780170 1.3033635616
B 500 1.2618246078 1.2169845104 1.2618246078
B 550 1.2259132862 1.1865715981 1.2259132862
B 600 1.1946581602 1.1608961821 1.1946581602
B 650 1.1689752340 1.1363039017 1.1689752340
B 700 1.1455239058 1.1142822504 1.1455239058
B 750 1.1236175299 1.0933816433 1.1236175299
B 800 1.1036301851 1.0747864246 1.1036301851
B 850 1.0850403309 1.0576069355 1.0850403309
B 900 1.0678446293 1.0418318510 1.0678446293
B 950 1.0517697334 1.0267895460 1.0517697334
B 1000 1.0366524458 1.0127197504 1.0366524458
B 1050 1.0225354433 0.9976103902 1.0225354433
B 1100 1.0092254877 0.9850901365 1.0092254877
B 1150 0.9966011047 0.9732733369 0.9966011047
B 1200 0.9846860766 0.9620923996 0.9846860766
B 1250 0.9733356237 0.9548979402 0.9733356237
B 1300 0.9625536203 0.9459196925 0.9625536203
B 1350 0.9522888660 0.9359506369 0.9522888660
B 1400 0.9427683949 0.9270596504 0.9427683949
