# I-mag mass-luminocity relation of the PARSEC isochrones model extracted from input_files/CMD3.3*.dat (references therein)
#   Read CMD3.3-thin1.dat
#0.01Gyr     Mini       MIc
    15 4.5155148506 -4.579
    15 4.5155372620 -4.549
    15 4.5155639648 -4.528
    15 4.5155639648 -1.155
    15 4.5155649185 -2.639
    15 4.5155668259 -3.801
    15 4.5155701637 -4.603
    15 4.5155754089 -4.966
    15 4.5155835152 -4.776
    15 4.5155944824 -4.633
    15 4.5156087875 -4.534
    15 4.5156264305 -4.481
    15 4.5156488419 -4.449
    15 4.5156755447 -4.426
    15 4.5156755447 -0.648
    15 4.5156764984 -2.207
    15 4.5156779289 -3.568
    15 4.5156817436 -4.495
    15 4.5156869888 -4.867
    15 4.5156946182 -4.697
    15 4.5157055855 -4.528
    15 4.5157194138 -4.428
    15 4.5157370567 -4.373
    15 4.5157589912 -4.339
    15 4.5157852173 -4.314
    15 4.5157852173 0.057
    15 4.5157861710 -1.753
    15 4.5157880783 -3.290
    15 4.5157914162 -4.378
    15 4.5157966614 -4.759
    15 4.5158047676 -4.580
    15 4.5158152580 -4.413
    15 4.5158295631 -4.311
    15 4.5158476830 -4.258
    15 4.5158696175 -4.226
    15 4.5158963203 -4.186
    15 4.5158963203 0.809
    15 4.5158972740 -1.273
    15 4.5158987045 -2.995
    15 4.5159020424 -4.253
    15 4.5159077644 -4.639
    15 4.5159153938 -4.455
    15 4.5159258842 -4.285
    15 4.5159401894 -4.193
    15 4.5159578323 -4.097
    15 4.5159792900 -4.037
    15 4.5160055161 -3.990
    15 4.5160055161 1.625
    15 4.5160064697 -0.740
    15 4.5160079002 -2.673
    15 4.5160112381 -4.090
    15 4.5160169601 -4.542
    15 4.5160245895 -4.314
    15 4.5160355568 -4.157
    15 4.5160493851 -3.986
    15 4.5160670280 -3.885
    15 4.5160889626 -3.819
    15 4.5161151886 -3.762
    15 4.5161151886 2.672
    15 4.5161161423 0.230
    15 4.5161175728 -2.143
    15 4.5161209106 -3.853
    15 4.5161261559 -4.382
    15 4.5161337852 -4.162
    15 4.5161447525 -3.930
    15 4.5161581039 -3.744
    15 4.5161757469 -3.643
    15 4.5161972046 -3.572
    15 4.5162229538 -3.506
    15 4.5162229538 4.188
    15 4.5162239075 1.350
    15 4.5162253380 -1.439
    15 4.5162286758 -3.584
    15 4.5162339211 -4.196
    15 4.5162420273 -3.957
    15 4.5162525177 -3.651
    15 4.5162663460 -3.466
    15 4.5162835121 -3.286
    15 4.5163054466 -3.143
    15 4.5163311958 -3.002
    15 4.5163311958 6.278
